Pulso_Cardiaco,Presion_sistolica,Sudoracion_ml_h,emocion_cluster,emocion_etiqueta
80.23,114.58,0.73,1,0
76.4,119.15,0.53,1,0
61.76,133.19,0.5,1,0
84.56,140.15,0.73,4,2
71.64,133.21,0.75,3,4
84.43,147.2,0.57,1,0
89.98,127.08,0.56,3,4
82.35,142.25,0.58,1,0
85.61,137.39,0.5,1,0
83.58,138.62,0.54,4,2
79.11,135.48,0.5,1,0
78.51,137.13,0.7,1,0
84.07,124.1,0.49,3,4
93.34,137.56,1.06,4,2
83.16,117.82,0.88,4,2
78.89,124.27,0.8,1,0
80.9,130.56,0.8,4,2
83.31,142.32,0.65,4,2
82.02,138.67,0.74,4,2
97.39,146.95,0.44,4,2
83.7,154.95,0.56,4,2
81.64,143.16,0.57,1,0
76.03,127.8,0.75,3,4
73.93,125.16,0.76,3,4
72.5,125.74,0.58,3,4
60.56,138.61,0.43,1,0
63.5,128.89,0.8,3,4
81.64,137.72,0.76,3,4
78.95,135.4,0.7,3,4
68.69,123.23,0.78,1,0
88.56,147.67,0.45,4,2
83.55,133.13,0.78,1,0
77.16,130.45,0.53,1,0
79.15,135.63,0.58,3,4
91.17,137.71,0.53,3,4
86.26,142.51,0.79,4,2
69.31,121.27,0.13,0,3
65.48,121.03,0.57,0,3
66.71,121.93,0.45,0,3
96.59,139.41,1.1,4,2
70.01,136.99,0.7,1,0
97.29,140.76,0.61,4,2
93.27,124.89,0.4,3,4
65.31,139.22,0.64,1,0
80.78,148.32,0.35,4,2
87,125.65,0.73,4,2
68.39,138.9,0.82,4,2
83.57,159.92,0.78,4,2
78.91,128.75,0.79,1,0
76.38,150.83,0.74,1,0
64.5,140.27,0.5,1,0
78.43,143.61,0.97,4,2
84.88,127.01,0.78,4,2
62.01,122.56,0.56,0,3
85.08,128.71,0.73,3,4
73.37,114.91,0.78,2,5
70.16,116.2,0.52,0,3
89.31,150.48,0.82,3,4
75.66,123.53,0.68,1,0
92.72,115.97,0.78,4,2
65.13,124.91,0.49,3,4
78.43,113.91,0.78,2,5
92.72,151.88,0.78,4,2
79.84,122.1,0.78,1,0
84.45,137.19,0.89,4,2
