Text;Etiqueta
Estoy muy cansado y desmotivado, no sé cómo voy a pasar todos estos exámenes, es demasiado.;0
Empieza el semestre y ya estoy nervioso por los exámenes, siempre me cuesta mucho mantener la calma.;4
Estoy listo para el semestre, siempre me gusta aprender cosas nuevas, aunque a veces sea difícil.;2
Los exámenes fueron muy duros, siento que no hice lo suficiente y probablemente no pasé algunas materias.;4
Estoy nervioso porque los exámenes siempre me generan mucha ansiedad, siento que nunca es suficiente tiempo para estudiar.;4
Siempre es emocionante empezar un semestre nuevo, me encanta la energía que se siente al inicio.;1
Estoy enojado conmigo mismo, sé que pude haber hecho más para prepararme, ahora solo queda esperar.;3
No puedo creer que ya estemos empezando otro semestre, parece que fue ayer que terminó el anterior.;5
Ya no me importa mucho lo que pase con los exámenes, solo quiero que acabe todo esto.;0
Siempre me pasa lo mismo, antes de los exámenes me entra mucho miedo de no lograr aprobar.;4
Este semestre me da igual, ya no me interesa mucho, solo quiero terminar lo más pronto posible.;0
Creo que si me esfuerzo un poco más, puedo lograr buenos resultados, aunque a veces siento que no vale la pena.;0
Me enoja que tengamos tantas materias y tan poco tiempo para realmente aprender algo útil.;3
Ya no me importa mucho lo que pase con los exámenes, solo quiero que acabe todo esto.;0
No puedo creer que ya haya pasado todo, parece que todo fue tan rápido, aún no lo proceso.;5
Este semestre me da igual, ya no me interesa mucho, solo quiero terminar lo más pronto posible.;0
Estoy muy contento de haber terminado los exámenes, ahora solo quiero descansar y disfrutar de un merecido descanso.;1
Ya no me importa mucho lo que pase con los exámenes, solo quiero que acabe todo esto.;0
Creo que si me esfuerzo un poco más, puedo lograr buenos resultados, aunque a veces siento que no vale la pena.;0
Este semestre me da igual, ya no me interesa mucho, solo quiero terminar lo más pronto posible.;0
No puedo esperar a que esto termine, odio esta sensación de estar a punto de fracasar en todo.;3
Estoy emocionado de empezar este nuevo semestre, aunque sé que será difícil, confío en poder lograrlo.;1
Estoy enojado conmigo mismo, sé que pude haber hecho más para prepararme, ahora solo queda esperar.;3
Estoy nervioso porque los exámenes siempre me generan mucha ansiedad, siento que nunca es suficiente tiempo para estudiar.;4
Este semestre me da igual, ya no me interesa mucho, solo quiero terminar lo más pronto posible.;0
Estoy listo para el semestre, siempre me gusta aprender cosas nuevas, aunque a veces sea difícil.;2
Estoy enojado conmigo mismo, sé que pude haber hecho más para prepararme, ahora solo queda esperar.;3
Estoy nervioso porque los exámenes siempre me generan mucha ansiedad, siento que nunca es suficiente tiempo para estudiar.;4
Es increíble, creo que me fue muy bien en los exámenes, siento una gran satisfacción personal.;1
Siento un gran alivio de haber terminado, aunque tengo miedo de ver los resultados.;4
Siempre me pasa lo mismo, antes de los exámenes me entra mucho miedo de no lograr aprobar.;4
Los exámenes fueron muy duros, siento que no hice lo suficiente y probablemente no pasé algunas materias.;4
La verdad no estoy muy emocionado, cada semestre es más difícil, siento que es un ciclo sin fin.;0
No puedo creer que ya estemos empezando otro semestre, parece que fue ayer que terminó el anterior.;5
Estoy muy cansado y desmotivado, no sé cómo voy a pasar todos estos exámenes, es demasiado.;0
Estoy muy contento de haber terminado los exámenes, ahora solo quiero descansar y disfrutar de un merecido descanso.;1
Estoy muy contento de haber terminado los exámenes, ahora solo quiero descansar y disfrutar de un merecido descanso.;1
Empieza el semestre y ya estoy nervioso por los exámenes, siempre me cuesta mucho mantener la calma.;4
Estoy muy cansado y desmotivado, no sé cómo voy a pasar todos estos exámenes, es demasiado.;0
Estoy listo para el semestre, siempre me gusta aprender cosas nuevas, aunque a veces sea difícil.;2
Los exámenes fueron muy duros, siento que no hice lo suficiente y probablemente no pasé algunas materias.;4
Siempre es emocionante empezar un semestre nuevo, me encanta la energía que se siente al inicio.;1
